Game Name,i,j,Engine Conditions,Simple Engine Conditions,Engine UTN Error,Simple Engine UTN Error
Bird1,28,3,150,81,0,0
Bird1,28,4,150,81,0,0
Bird1,28,5,150,81,5,5
Bird1,28,6,150,81,8,8
Bird1,28,7,150,81,13,13
Bird1,28,8,150,81,18,18
Bird1,28,9,150,81,23,23
Bird1,28,10,150,81,26,26
Bird1,28,11,150,81,29,29
Bird1,28,12,150,81,34,34
Bird1,28,13,150,81,37,37
Bird1,28,14,150,81,42,42
Bird1,28,15,150,81,47,47
Bird1,28,16,150,81,52,52
Bird1,28,17,150,81,57,57
Bird1,28,18,150,81,62,62
Bird1,28,19,150,81,65,65
Bird1,28,20,150,81,68,68
Bird1,28,21,150,81,75,75
Bird1,28,22,150,81,80,80
Bird1,28,23,150,81,85,85
Bird1,28,24,150,81,90,90
Bird1,28,25,150,81,95,95
Bird1,28,26,150,81,102,102
Bird1,28,27,150,81,109,109
Bird1,29,1,150,81,0,0
Bird1,29,2,150,81,0,0
Bird1,29,3,150,81,0,0
Bird1,29,4,150,81,0,0
Bird1,29,5,150,81,5,5
Bird1,29,6,150,81,8,8
Bird1,29,7,150,81,13,13
Bird1,29,8,150,81,18,18
Bird1,29,9,150,81,23,23
Bird1,29,10,150,81,26,26
Bird1,29,11,150,81,29,29
Bird1,29,12,150,81,34,34
Bird1,29,13,150,81,37,37
Bird1,29,14,150,81,42,42
Bird1,29,15,150,81,47,47
Bird1,29,16,150,81,52,52
Bird1,29,17,150,81,57,57
Bird1,29,18,150,81,62,62
Bird1,29,19,150,81,65,65
Bird1,29,20,150,81,68,68
Bird1,29,21,150,81,75,75
Bird1,29,22,150,81,80,80
Bird1,29,23,150,81,85,85
Bird1,29,24,150,81,90,90
Bird1,29,25,150,81,95,95
Bird1,29,26,150,81,102,102
Bird1,29,27,150,81,109,109
Bird1,29,28,150,81,116,116
Bird1,30,1,150,81,0,0
Bird1,30,2,150,81,0,0
Bird1,30,3,150,81,0,0
Bird1,30,4,150,81,0,0
Bird1,30,5,150,81,5,5
Bird1,30,6,150,81,8,8
Bird1,30,7,150,81,13,13
Bird1,30,8,150,81,18,18
Bird1,30,9,150,81,23,23
Bird1,30,10,150,81,26,26
Bird1,30,11,150,81,29,29
Bird1,30,12,150,81,34,34
Bird1,30,13,150,81,37,37
Bird1,30,14,150,81,42,42
Bird1,30,15,150,81,47,47
Bird1,30,16,150,81,52,52
Bird1,30,17,150,81,57,57
Bird1,30,18,150,81,62,62
Bird1,30,19,150,81,65,65
Bird1,30,20,150,81,68,68
Bird1,30,21,150,81,75,75
Bird1,30,22,150,81,80,80
Bird1,30,23,150,81,85,85
Bird1,30,24,150,81,90,90
Bird1,30,25,150,81,95,95
Bird1,30,26,150,81,102,102
Bird1,30,27,150,81,109,109
Bird1,30,28,150,81,116,116
Bird1,30,29,150,81,123,123
Bird1,31,1,150,81,0,0
Bird1,31,2,150,81,0,0
Bird1,31,3,150,81,0,0
Bird1,31,4,150,81,0,0
Bird1,31,5,150,81,5,5
Bird1,31,6,150,81,8,8
Bird1,31,7,150,81,13,13
Bird1,31,8,150,81,18,18
Bird1,31,9,150,81,23,23
Bird1,31,10,150,81,26,26
Bird1,31,11,150,81,29,29
Bird1,31,12,150,81,34,34
Bird1,31,13,150,81,37,37
Bird1,31,14,150,81,42,42
Bird1,31,15,150,81,47,47
Bird1,31,16,150,81,52,52
Bird1,31,17,150,81,57,57
Bird1,31,18,150,81,62,62
Bird1,31,19,150,81,65,65
Bird1,31,20,150,81,68,68
Bird1,31,21,150,81,75,75
Bird1,31,22,150,81,80,80
Bird1,31,23,150,81,85,85
Bird1,31,24,150,81,90,90
Bird1,31,25,150,81,95,95
Bird1,31,26,150,81,102,102
Bird1,31,27,150,81,109,109
